part_number,manufacturer,condition,price,quantity,status,description
197422-4,MAKITA,NEW,75.54,150,ON-SITE,Makita BL1860B 18V power tool battery
YT-828463,YATO,NEW,26.33,97,ON-SITE,Accumulator 18V Li-ION 4 0Ah YT-828463 YATO
SFMCB204-XJ,STANLEY,NEW,43.37,89,ON-SITE,Stanley SFMCB204-XJ cordless tool battery / charger
5133005053,RYOBI,NEW,55.17,84,ON-SITE,Li-Ion Battery 4.0 Ah 18V RYOBI RB1840X
BL5018-XJ,BLACK+DECKER,NEW,42.03,83,ON-SITE,Black & Decker BL5018 Battery
BL2518-XJ,BLACK+DECKER,NEW,25.76,63,ON-SITE,Black+Decker BL2518-XJ 18 V 2.5 Ah power tool battery
BDL2018S-XJ,BLACK+DECKER,NEW,17.65,46,ON-SITE,BLACK+DECKER 18V 2.0Ah battery BDL2018S
DCB126-XJ,DeWalt,NEW,48.48,17,ON-SITE,DeWALT DCB126-XJ cordless tool battery / charger
DCB184-XJ,DeWalt,NEW,53.92,8,ON-SITE,DeWALT DCB184-XJ cordless tool battery / charger
2.445-031.0,KARCHER,NEW,143.17,7,ON-SITE,Kärcher 2.445-031.0 cordless tool battery / charger
DCB1104P2-QW,DeWalt,NEW,153.41,32,ON-SITE,DeWalt DCB1104P2-QW Set charger DCB1104 + 2 batteries DCB184 18 V 5 Ah
2.445-064.0,KARCHER,NEW,148.94,18,ON-SITE,Kärcher Power 36/25 Cylinder vacuum Battery & charger set
2.445-063.0,KARCHER,NEW,99.59,11,ON-SITE,Kärcher Power 18/50 Cylinder vacuum Battery & charger set
6.296-225.0,KARCHER,NEW,6.86,200,ON-SITE,Kärcher RM 626N 1000 ml Liquid (ready to use)
6.296-226.0,KARCHER,NEW,6.18,200,ON-SITE,Kärcher RM 610N 1000 ml Liquid (ready to use)
25703,LEIFHEIT,NEW,15.93,184,ON-SITE,Leifheit 25703 paper towel holder Wall-mounted paper towel holder Grey White
8002617007412,BIALETTI,NEW,12.38,131,ON-SITE,Bialetti DCDESIGN08 heat diffuser 1 pc(s)
4977642730465,HARIO,NEW,4.93,105,ON-SITE,HARIO V60-02 Clear Plastic Drip
88383,Medisana,NEW,27.81,88,ON-SITE,Mat for Bubble Bath MBH/BBS Medisana silver
6.295-474.0,KARCHER,NEW,6.31,50,ON-SITE,GLASS CLEANER 3IN1 KARCHER RM 627 - 1L
2.633-130.0,KARCHER,NEW,8.72,28,ON-SITE,MICROFIBRE PAD FOR WV YELLOW KARCHER - 2.633-130.0
4977642020290,HARIO,NEW,24.88,18,ON-SITE,Bialetti 0006367 coffee maker part/accessory Coffee filter
V60-01,HARIO,NEW,3.93,18,ON-SITE,HARIO V60-01 Clear Plastic Drip
FIC-70-MC,HARIO,NEW,18,16,ON-SITE,HAIRO Cold Brew Tea Bottle with Filter
2.863-329.0,KARCHER,NEW,9.65,16,ON-SITE,Kärcher 2.863-329.0 steam cleaner accessory Roller
6.295-842.0,KARCHER,NEW,7.14,16,ON-SITE,PATIO&DECK CLEANER KARCHER RM 564 - 500ML
6.296-227.0,KARCHER,NEW,9.95,14,ON-SITE,Stone & Facade Cleaner KARCHER RM 611 1l (6.296-227.0)
6.295-358.0,KARCHER,NEW,11.13,13,ON-SITE,KARCHER PLASTIC CLEANER RM 625 - 5L
